featIdx,bin,cosNum_f32,cosNum_f64,cosNum_abs_residual,cosDen_f32,cosDen_f64,cosDen_abs_residual,gain_f32,gain_f64,gain_abs_residual
0,0,4125.463867,4125.4637685753,9.861220e-05,4119.456055,4119.45628819933,2.335118e-04,64.27658844,64.2765899046659,1.464724e-06
0,1,4329.527832,4329.52799123806,1.592068e-04,4324.553711,4324.55341255985,2.983777e-04,65.83698273,65.8369827090045,1.804631e-08
0,2,4504.979004,4504.97916558076,1.616745e-04,4500.5,4500.49981803655,1.819634e-04,67.15252686,67.1525351079142,8.252445e-06
0,3,4654.600098,4654.60040118766,3.035314e-04,4650.471191,4650.47157477364,3.833674e-04,68.2549057,68.2549111295009,5.428817e-06
0,4,4777.695312,4777.69507542069,2.370793e-04,4773.854492,4773.85436526993,1.269176e-04,69.14867401,69.1486722615761,1.749654e-06
0,5,4859.952637,4859.9525123475,1.243713e-04,4856.394531,4856.39432331127,2.079387e-04,69.7388916,69.7388937996732,2.198111e-06
0,6,4933.951172,4933.95103299251,1.388825e-04,4930.620605,4930.61988786126,7.176075e-04,70.26580811,70.2658126592001,4.553731e-06
0,7,4996.95166,4996.95158943555,7.072070e-05,4993.81543,4993.81541415863,1.552887e-05,70.71131897,70.7113126329,6.336827e-06
0,8,5047.415527,5047.41541328998,1.140538e-04,5044.453613,5044.45325213375,3.611475e-04,71.06602478,71.0660208106619,3.969612e-06
0,9,5097.518066,5097.51798500092,8.140533e-05,5094.703125,5094.70274547393,3.795261e-04,71.41662598,71.4166281770413,2.200479e-06
0,10,5139.529297,5139.52951223499,2.153600e-04,5136.847168,5136.84754850336,3.805346e-04,71.70922852,71.7092244849158,4.030709e-06
0,11,5185.348633,5185.34861607741,1.673509e-05,5182.779785,5182.77984432838,5.917213e-05,72.02721405,72.0272077829061,6.267387e-06
0,12,5219.81543,5219.81541256379,1.712371e-05,5217.355469,5217.35546068571,8.064295e-06,72.26531982,72.2653203431249,5.189062e-07
0,13,5242.588379,5242.58818649659,1.924097e-04,5240.233887,5240.2340896001,2.028813e-04,72.42198944,72.4219810619397,8.378978e-06
0,14,5263.331055,5263.33090695797,1.477295e-04,5261.073242,5261.07318598054,5.620696e-05,72.56438446,72.5643824255876,2.034862e-06
0,15,5274.416992,5274.41731736057,3.251731e-04,5272.252441,5272.25282040532,3.789991e-04,72.64009094,72.6400901908801,7.515027e-07
0,16,5287.806152,5287.80603470366,1.176401e-04,5285.725098,5285.72478391518,3.137411e-04,72.73161316,72.7316169556495,3.796470e-06
0,17,5295.868652,5295.8686389594,1.338435e-05,5293.867188,5293.8667953446,3.921554e-04,72.78647614,72.7864770376972,9.024433e-07
0,18,5294.687012,5294.6868267303,1.849885e-04,5292.762207,5292.76255647629,3.494450e-04,72.77783203,72.7778248959405,7.135310e-06
0,19,5289.512207,5289.51247436603,2.673348e-04,5287.661133,5287.66188051457,7.477021e-04,72.74176025,72.7417604673863,2.134801e-07
0,20,5297.105957,5297.10566849416,2.885371e-04,5295.317383,5295.31752218545,1.393729e-04,72.79351044,72.7935053327702,5.104241e-06
0,21,5292.762695,5292.76269836046,3.047958e-06,5291.037598,5291.03808080903,4.831528e-04,72.763237,72.7632316355739,5.363938e-06
0,22,5272.876953,5272.87714213952,1.890145e-04,5271.217773,5271.2180144893,2.410518e-04,72.62600708,72.6260063063079,7.737702e-07
0,23,5276.449707,5276.44956937037,1.376609e-04,5274.842773,5274.84288022819,1.067907e-04,72.65023804,72.650235704377,2.332732e-06
0,24,5269.393066,5269.39307632641,9.920162e-06,5267.839355,5267.83951414442,1.586757e-04,72.60129547,72.6012885331686,6.938023e-06
