leaf,gSum_f32,gSum_f64,gSum_residual,hSum_f32,hSum_f64,hSum_residual,leafVal_f32,leafVal_f64,leafVal_residual
44,1416.324951,1416.32336610556,1.585066e-03,2154,2154,0.000000e+00,-0.01969853789,-0.0196985164735502,2.141259e-08
45,-359.445282,-359.444837225368,4.447571e-04,2316,2316,0.000000e+00,0.004650003277,0.00464999779031242,5.486453e-09
46,415.4749756,415.47502931481,5.372887e-05,2264,2264,0.000000e+00,-0.005498124752,-0.00549812554073515,7.885415e-10
47,-1443.032959,-1443.03381589812,8.569137e-04,2345,2345,0.000000e+00,0.01843738742,0.0184373992799463,1.185822e-08
48,2.630382538,2.63038241863251,1.192093e-07,3,3,0.000000e+00,-0.01315191202,-0.0131519117991944,2.194623e-10
49,-1.197757483,-1.19775769114494,2.086163e-07,9,9,0.000000e+00,0.002994393697,0.00299439416093243,4.639239e-10
50,0.8826922178,0.882692217826843,0.000000e+00,5,5,0.000000e+00,-0.003310095752,-0.00331009574286426,8.793827e-12
51,-0.5158417225,-0.515841722488403,0.000000e+00,1,1,0.000000e+00,0.003868812928,0.00386881283218832,9.578793e-11
52,152.6469574,152.64696662128,9.223819e-06,246,246,0.000000e+00,-0.01839119941,-0.0183912003866692,9.767075e-10
53,-31.33217049,-31.33217293286,2.446410e-06,232,232,0.000000e+00,0.003999851178,0.0039998517743657,5.959878e-10
54,51.18887711,51.1888723221491,4.783564e-06,259,259,0.000000e+00,-0.00586132193,-0.00586132112725061,8.025916e-10
55,-159.4187469,-159.418718514033,2.843421e-05,245,245,0.000000e+00,0.01928452589,0.0192845219698484,3.916330e-09
56,9.46846962,9.46846970939077,8.963980e-08,15,15,0.000000e+00,-0.01578078233,-0.0157807824962566,1.692007e-10
57,-0.9117155671,-0.911715591326356,2.421439e-08,8,8,0.000000e+00,0.002486496931,0.00248649701167616,8.073422e-11
58,1.609679818,1.6096797734499,4.470348e-08,12,12,0.000000e+00,-0.003219359554,-0.0032193594749415,7.940887e-11
59,-9.361319542,-9.36131983995438,2.980232e-07,16,16,0.000000e+00,0.01478103083,0.014781030995862,1.695914e-10
60,273.7953491,273.795561611652,2.124906e-04,425,425,0.000000e+00,-0.01919126138,-0.0191912772541013,1.587319e-08
61,-62.62123108,-62.6212261617184,4.917383e-06,468,468,0.000000e+00,0.003988613375,0.00398861304216719,3.323641e-10
62,93.82242584,93.8224473851733,2.154289e-05,436,436,0.000000e+00,-0.006411554758,-0.00641155662560899,1.868103e-09
63,-285.1200562,-285.120082575362,2.642302e-05,458,458,0.000000e+00,0.01855445094,0.0185544518136073,8.695412e-10
