depth,chosen_feat_mlx,chosen_bin_mlx,chosen_feat_fp64,chosen_bin_fp64,flipped
0,0,63,0,63,False
1,1,68,1,68,False
2,12,1,12,1,False
3,12,1,12,1,False
4,12,44,12,44,False
5,5,15,5,15,False
