0	-2.43287015
0	-2.16966438
0	-2.01068282
0	-1.88571846
0	-1.78229678
0	-1.69301486
0	-1.61499071
0	-1.54584026
0	-1.48574376
0	-1.42342544
0	-1.37188101
0	-1.32369149
0	-1.28009963
0	-1.23648584
0	-1.19441879
0	-1.15472758
0	-1.11423457
0	-1.07849061
0	-1.04172611
0	-1.00991738
0	-0.977795601
0	-0.946874738
0	-0.915019035
0	-0.887179077
0	-0.857538879
0	-0.83143723
0	-0.802983403
0	-0.777476192
0	-0.750877976
0	-0.725361109
0	-0.697973669
0	-0.6736058
0	-0.650613308
0	-0.625936985
0	-0.603040874
0	-0.579506993
0	-0.557422042
0	-0.535757542
0	-0.514014304
0	-0.491324306
0	-0.470157385
0	-0.448332071
0	-0.427649766
0	-0.40637356
0	-0.383453608
0	-0.363377929
0	-0.342400879
0	-0.321927905
0	-0.30377534
0	-0.28316313
0	-0.26320821
0	-0.241824523
0	-0.22100313
0	-0.200589493
0	-0.180619508
0	-0.160243571
0	-0.142848492
0	-0.122955337
0	-0.103269055
0	-0.0817066282
0	-0.0621691123
0	-0.0439838506
0	-0.0250908881
0	-0.00525255967
0	0.0141694006
0	0.0343909077
0	0.0535058603
0	0.0734423548
0	0.0929316729
0	0.113760144
0	0.134254009
0	0.154651687
0	0.174998999
0	0.194975197
0	0.215535909
0	0.234699205
0	0.255380958
0	0.275886327
0	0.296844006
0	0.318009198
0	0.338730574
0	0.358935118
0	0.379558504
0	0.401166409
0	0.424445271
0	0.447293162
0	0.467890322
0	0.4887245
0	0.51099062
0	0.534661353
0	0.556994855
0	0.579926372
0	0.603309274
0	0.626938522
0	0.651110888
0	0.674378991
0	0.70039463
0	0.724999666
0	0.750136614
0	0.77606535
0	0.803082049
0	0.831353784
0	0.858520508
0	0.887793064
0	0.916754186
0	0.947378874
0	0.977837563
0	1.00848985
0	1.04272604
0	1.07695603
0	1.1112535
0	1.1475811
0	1.18769741
0	1.22597134
0	1.26444101
0	1.30627465
0	1.3541472
0	1.40493131
0	1.46229696
0	1.52084947
0	1.5881598
0	1.66622639
0	1.74996567
0	1.84376454
0	1.96766233
0	2.13913155
0	2.41052008
1	-2.4065423
1	-2.16923428
1	-1.98733377
1	-1.85764229
1	-1.7581569
1	-1.67516279
1	-1.60229349
1	-1.53266549
1	-1.46937537
1	-1.41603398
1	-1.36742759
1	-1.3198061
1	-1.27432108
1	-1.23291254
1	-1.19208026
1	-1.15201008
1	-1.11489093
1	-1.08190012
1	-1.04609263
1	-1.01297736
1	-0.978490353
1	-0.947073102
1	-0.915906906
1	-0.886971354
1	-0.856051207
1	-0.8263551
1	-0.800952613
1	-0.777067006
1	-0.750036359
1	-0.726053655
1	-0.701981723
1	-0.678898335
1	-0.655724883
1	-0.629226089
1	-0.60588491
1	-0.582343757
1	-0.559175491
1	-0.535636246
1	-0.513955116
1	-0.49054265
1	-0.468487561
1	-0.446903825
1	-0.424969643
1	-0.402103394
1	-0.381421775
1	-0.358906955
1	-0.338534594
1	-0.318134606
1	-0.29812485
1	-0.276669651
1	-0.257791579
1	-0.237414449
1	-0.216572464
1	-0.194924951
1	-0.173025519
1	-0.153535753
1	-0.133863211
1	-0.113663197
1	-0.0924088731
