feature_idx,idx,mlx_val,cpu_val,abs_diff,ulp_diff
0,111,1.1475811,1.1112535,3.632760e-02,304738
0,112,1.18769741,1.1475811,4.011631e-02,336520
0,113,1.22597134,1.18769741,3.827393e-02,321065
0,114,1.26444101,1.22597134,3.846967e-02,322707
0,115,1.30627465,1.26444101,4.183364e-02,350926
0,116,1.3541472,1.30627465,4.787255e-02,401584
0,117,1.40493131,1.3541472,5.078411e-02,426008
0,118,1.46229696,1.40493131,5.736565e-02,481218
0,119,1.52084947,1.46229696,5.855251e-02,491174
0,120,1.5881598,1.52084947,6.731033e-02,564640
0,121,1.66622639,1.5881598,7.806659e-02,654870
0,122,1.74996567,1.66622639,8.373928e-02,702456
0,123,1.84376454,1.74996567,9.379887e-02,786842
0,124,1.96766233,1.84376454,1.238978e-01,1039330
0,125,2.13913155,1.96766233,1.714692e-01,854828
0,126,2.41052008,2.13913155,2.713885e-01,1138286
1,0,-2.4065423,-2.4065423,1.000000e-09,0
1,1,-2.16923428,-2.16923428,4.000000e-09,0
1,2,-1.98733377,-1.98733377,5.000000e-09,0
1,3,-1.85764229,-1.85764229,3.000000e-09,0
1,4,-1.7581569,-1.7581569,4.000000e-09,0
1,5,-1.67516279,-1.67516279,2.000000e-09,0
1,6,-1.60229349,-1.63785744,3.556395e-02,298332
1,7,-1.53266549,-1.60229349,6.962800e-02,584082
1,8,-1.46937537,-1.53266549,6.329012e-02,530916
1,9,-1.41603398,-1.46937537,5.334139e-02,447460
1,10,-1.36742759,-1.41603398,4.860639e-02,407740
1,11,-1.3198061,-1.36742759,4.762149e-02,399478
1,12,-1.27432108,-1.3198061,4.548502e-02,381556
1,13,-1.23291254,-1.27432108,4.140854e-02,347360
1,14,-1.19208026,-1.23291254,4.083228e-02,342526
1,15,-1.15201008,-1.19208026,4.007018e-02,336133
1,16,-1.11489093,-1.15201008,3.711915e-02,311378
1,17,-1.08190012,-1.11489093,3.299081e-02,276747
1,18,-1.04609263,-1.08190012,3.580749e-02,300375
1,19,-1.01297736,-1.04609263,3.311527e-02,277791
1,20,-0.978490353,-1.01297736,3.448701e-02,469734
1,21,-0.947073102,-0.978490353,3.141725e-02,527094
