featIdx,bin,cosNum_f32,cosNum_f64,cosNum_abs_residual,cosDen_f32,cosDen_f64,cosDen_abs_residual,gain_f32,gain_f64,gain_abs_residual
0,0,5829.158203,5829.15827374262,7.061762e-05,5815.666016,5815.66631497742,2.993524e-04,76.43743896,76.4374354158625,3.548981e-06
0,1,6038.342773,6038.34203968786,7.337496e-04,6026.849609,6026.84891104806,6.983269e-04,77.78083038,77.7808272364484,3.146852e-06
0,2,6197.783203,6197.78318454794,1.857706e-05,6187.440918,6187.44028767926,6.302895e-04,78.79177094,78.7917722262654,1.291207e-06
0,3,6318.22998,6318.2302569003,2.764315e-04,6308.744629,6308.74481174859,1.828423e-04,79.54702759,79.5470298866693,2.298779e-06
0,4,6426.48877,6426.4883838767,3.856545e-04,6417.632812,6417.63279867564,1.382436e-05,80.22067261,80.2206718293552,7.780666e-07
0,5,6514.785156,6514.78495800486,1.982451e-04,6506.441895,6506.44191256908,1.803783e-05,80.76595306,80.7659501368999,2.927065e-06
0,6,6586.097168,6586.09706341398,1.045548e-04,6578.213867,6578.21392217593,5.498843e-05,81.20339203,81.2033844835325,7.545276e-06
0,7,6639.525391,6639.52517178222,2.188428e-04,6632.038574,6632.03848916107,8.505768e-05,81.52925873,81.5292604275586,1.699531e-06
0,8,6693.601074,6693.60099651737,7.770138e-05,6686.45752,6686.45734303418,1.764971e-04,81.85812378,81.8581228841196,8.951773e-07
0,9,6737.454102,6737.45418937477,8.781227e-05,6730.622559,6730.62231417519,2.444186e-04,82.12364197,82.1236445807519,2.612978e-06
0,10,6780.690918,6780.69100363957,8.567082e-05,6774.121094,6774.12109005788,3.692124e-06,82.38487244,82.3848729384419,5.019185e-07
0,11,6831.19043,6831.19044991471,2.022721e-05,6824.831055,6824.83123840262,1.837151e-04,82.68951416,82.6895131608912,9.992651e-07
0,12,6862.503418,6862.50322481765,1.931511e-04,6856.364258,6856.36442858138,1.707689e-04,82.87730408,82.8773039944029,8.274554e-08
0,13,6888.467285,6888.46777453342,4.893772e-04,6882.550781,6882.55092558129,1.443313e-04,83.03245544,83.0324617853268,6.340991e-06
0,14,6911.358887,6911.35906494949,1.782307e-04,6905.639648,6905.63984231876,1.938813e-04,83.16899872,83.1690027847934,4.066532e-06
0,15,6922.016113,6922.01610296201,1.031924e-05,6916.493652,6916.49348429742,1.680463e-04,83.23186493,83.2318636777815,1.251418e-06
0,16,6936.964355,6936.96444612844,9.065969e-05,6931.617188,6931.61765703381,4.695338e-04,83.32056427,83.3205578445981,6.425421e-06
0,17,6943.958008,6943.95769315197,3.146605e-04,6938.774902,6938.77537018727,4.678435e-04,83.36153412,83.3615252176218,8.901031e-06
0,18,6953.361816,6953.36185580169,3.939544e-05,6948.333984,6948.33357777237,4.066026e-04,83.41698456,83.4169873145072,2.756402e-06
0,19,6951.629395,6951.62937859456,1.593669e-05,6946.758301,6946.75863370562,3.329244e-04,83.40566254,83.4056565145546,6.022067e-06
0,20,6944.767578,6944.76759885197,2.072697e-05,6940.047363,6940.0479422861,5.790048e-04,83.36360931,83.3636039592377,5.354727e-06
0,21,6939.223145,6939.22351510231,3.705711e-04,6934.638184,6934.63835519386,1.716001e-04,83.32953644,83.3295368204055,3.824172e-07
