feat_idx,bin,gain_f32,gain_f64,gain_abs_residual
0,0,75.01086426,75.0108715054949,7.247682e-06
0,1,76.59197235,76.5919697583631,2.592711e-06
0,2,77.80893707,77.808933433004,3.639750e-06
0,3,78.80497742,78.8049735027904,3.914202e-06
0,4,79.61416626,79.6141604125311,5.847235e-06
0,5,80.22718811,80.2271845121958,3.598156e-06
0,6,80.75395203,80.753959800885,7.774518e-06
0,7,81.22864532,81.2286454060332,8.132616e-08
0,8,81.62844086,81.6284447599051,3.902972e-06
0,9,82.00330353,82.0033023699635,1.157869e-06
0,10,82.28259277,82.2825928108488,3.741134e-08
0,11,82.59458923,82.5945862560638,2.977335e-06
0,12,82.86386108,82.8638686845183,7.600534e-06
0,13,83.0633316,83.0633341692895,2.565286e-06
0,14,83.24105072,83.2410521911466,1.470932e-06
0,15,83.3907547,83.3907595365443,4.836837e-06
0,16,83.53178406,83.5317858108907,1.753274e-06
0,17,83.63110352,83.631100767714,2.747911e-06
0,18,83.73816681,83.7381694223549,2.613273e-06
0,19,83.77167511,83.771683134997,8.025134e-06
0,20,83.83361053,83.833610680092,1.454240e-07
0,21,83.86048126,83.8604825078832,1.245676e-06
0,22,83.82362366,83.8236254234319,1.766205e-06
0,23,83.86884308,83.8688329096599,1.016895e-05
0,24,83.86966705,83.8696657366395,1.316583e-06
0,25,83.82130432,83.8213047985935,4.773044e-07
0,26,83.82488251,83.8248836755982,1.168274e-06
0,27,83.74404907,83.7440502493937,1.177128e-06
0,28,83.6631012,83.663099012562,2.183727e-06
0,29,83.60514069,83.6051365901067,4.095928e-06
0,30,83.52890778,83.5288970738976,1.070198e-05
0,31,83.42695618,83.426955288667,8.880908e-07
0,32,83.31743622,83.3174292361866,6.982075e-06
0,33,83.20371246,83.2037066507831,5.812596e-06
0,34,83.05436707,83.05436614239,9.230397e-07
0,35,82.90778351,82.9077765572034,6.951097e-06
0,36,82.74041748,82.7404196027851,2.122316e-06
0,37,82.53582001,82.5358238298851,3.822561e-06
0,38,82.38864899,82.3886448387068,4.148110e-06
0,39,82.21437836,82.2143846524144,6.295481e-06
0,40,81.99950409,81.999497633983,6.455372e-06
0,41,81.82247162,81.8224730784704,1.459818e-06
0,42,81.65738678,81.6573871434315,3.636463e-07
0,43,81.44226837,81.4422690817301,7.101481e-07
0,44,81.17253113,81.1725256186533,5.509276e-06
0,45,80.91908264,80.9190864769938,3.835392e-06
0,46,80.69876099,80.6987602231484,7.631797e-07
0,47,80.3862381,80.3862372157363,8.824082e-07
0,48,80.06185913,80.0618667020316,7.571172e-06
0,49,79.74311829,79.7431114146777,6.871455e-06
0,50,79.44861603,79.4486090187229,7.009109e-06
0,51,79.14027405,79.1402728492605,1.198591e-06
0,52,78.86778259,78.8677876924099,5.099636e-06
0,53,78.56684113,78.5668472456674,6.120179e-06
0,54,78.25854492,78.2585390148188,5.907056e-06
0,55,77.88200378,77.8819940612524,9.722927e-06
0,56,77.52711487,77.5271147626146,1.055495e-07
0,57,77.16783142,77.167837532063,6.111165e-06
0,58,76.78617859,76.7861767900526,1.798815e-06
0,59,76.41218567,76.4121900610615,4.392116e-06
0,60,76.03861237,76.0386163549838,3.989261e-06
0,61,75.62934113,75.6293387266587,2.398830e-06
0,62,75.25582886,75.2558257745572,3.082865e-06
0,63,74.8888855,74.888885221907,2.761398e-07
0,64,74.48911285,74.4891138817828,1.027779e-06
0,65,74.05181885,74.0518197999186,9.522624e-07
0,66,73.61211395,73.6121152960828,1.343446e-06
0,67,73.1661911,73.1661922243189,1.123245e-06
0,68,72.70780182,72.7078047934,2.974552e-06
0,69,0,0,0.000000e+00
0,70,75.86716461,75.8671532154366,1.139638e-05
0,71,76.23301697,76.2330117863629,5.181411e-06
0,72,76.58896637,76.5889724596543,6.090025e-06
0,73,76.93820953,76.9382090546644,4.790270e-07
0,74,77.27253723,77.2725346795109,2.551934e-06
0,75,77.58978271,77.5897821494707,5.653731e-07
0,76,77.90583038,77.9058222869027,8.096398e-06
0,77,78.24636078,78.2463578421443,2.936664e-06
0,78,78.51464081,78.5146388968617,1.911244e-06
0,79,78.80130005,78.8013019842166,1.935388e-06
0,80,79.06105804,79.0610567305497,1.313884e-06
0,81,79.33933258,79.3393286445546,3.936012e-06
0,82,79.63456726,79.6345716214215,4.360679e-06
0,83,79.87985992,79.8798624320683,2.507752e-06
0,84,80.11776733,80.1177671094471,2.245372e-07
0,85,80.34896851,80.3489621392318,6.366628e-06
0,86,80.57813263,80.5781233442351,9.285159e-06
0,87,80.79562378,80.7956258983797,2.119083e-06
0,88,81.03378296,81.0337846406901,1.681706e-06
0,89,81.24568939,81.2456908847847,1.492695e-06
0,90,81.47446442,81.4744638636179,5.528860e-07
0,91,81.65288544,81.6528848851652,5.518465e-07
0,92,81.841362,81.841361358934,6.405778e-07
0,93,82.0083847,82.0083796289251,5.075665e-06
0,94,82.14316559,82.1431615145884,4.073791e-06
0,95,82.28760529,82.2876084079152,3.122271e-06
0,96,82.42783356,82.4278319344215,1.622707e-06
0,97,82.52445221,82.524446214625,5.994848e-06
0,98,82.61591339,82.6159100244685,3.366645e-06
0,99,82.73773193,82.7377259316745,6.001919e-06
0,100,82.85463715,82.8546371932347,4.723864e-08
0,101,82.9705658,82.9705728536968,7.057798e-06
0,102,83.07750702,83.0775077697129,7.506700e-07
0,103,83.15061188,83.1506065454641,5.331977e-06
