N,seed,mlx_rmse,cpu_rmse,drift_pct,wall_secs
1000,42,0.311027,0.2042378914232756,52.286629005294536,0.40588729083538055
1000,43,0.309553,0.20042509662492355,54.448222908580625,0.41448654187843204
1000,44,0.308554,0.20400726386281162,51.24657532169674,0.39228045800700784
5000,42,0.302314,0.19724270366999896,53.27005479796748,0.45809829188510776
5000,43,0.298808,0.19578613669895337,52.6195904562212,0.46422900003381073
5000,44,0.299428,0.19445515085213727,53.98306431475481,0.4454194998834282
10000,42,0.299503,0.19466392350571787,53.85644890240934,0.5008687500376254
10000,43,0.297067,0.1945632769178282,52.68400322300452,0.5156981248874217
10000,44,0.298799,0.19435370639962474,53.7398002514126,0.5082450830377638
25000,42,0.297879,0.19419290913404144,53.3933454770943,0.6542880418710411
25000,43,0.29663,0.19418878120014046,52.75341766231006,0.6407735419925302
25000,44,0.29629,0.19332861501470375,53.25718853231605,0.6352356669958681
50000,42,0.296595,0.1936264502915649,53.178968861632235,0.8608764589298517
50000,43,0.295936,0.19357117632361942,52.88226564539923,0.868854166008532
50000,44,0.295662,0.19320460496205977,53.0305139766519,0.8691079998388886
