doc,partition,docLeafVal_f32,docLeafVal_f64,inc_residual
0,17,0.006198922638,0.00619892263785005,0.000000e+00
1,24,-0.01787447743,-0.0178744774311781,0.000000e+00
2,31,0.02055482008,0.0205548200756311,0.000000e+00
3,28,-0.01821742952,-0.0182174295186996,0.000000e+00
4,17,0.006198922638,0.00619892263785005,0.000000e+00
5,42,-0.002108461922,-0.00210846192203462,0.000000e+00
6,54,-0.003319986863,-0.00331998686306179,0.000000e+00
7,25,0.005917221308,0.00591722130775452,0.000000e+00
8,28,-0.01821742952,-0.0182174295186996,0.000000e+00
9,23,0.02016444318,0.020164443179965,0.000000e+00
10,27,0.02060311101,0.0206031110137701,0.000000e+00
11,26,-0.003541126614,-0.00354112661443651,0.000000e+00
12,28,-0.01821742952,-0.0182174295186996,0.000000e+00
13,60,-0.01797948033,-0.0179794803261757,0.000000e+00
14,9,0.006760588847,0.00676058884710073,0.000000e+00
15,25,0.005917221308,0.00591722130775452,0.000000e+00
16,53,0.006205201149,0.00620520114898682,0.000000e+00
17,30,-0.00359892007,-0.00359892006963491,0.000000e+00
18,58,-0.003621819196,-0.00362181919626892,0.000000e+00
19,26,-0.003541126614,-0.00354112661443651,0.000000e+00
20,30,-0.00359892007,-0.00359892006963491,0.000000e+00
21,8,-0.01801986247,-0.018019862473011,0.000000e+00
22,26,-0.003541126614,-0.00354112661443651,0.000000e+00
23,25,0.005917221308,0.00591722130775452,0.000000e+00
24,27,0.02060311101,0.0206031110137701,0.000000e+00
25,27,0.02060311101,0.0206031110137701,0.000000e+00
26,28,-0.01821742952,-0.0182174295186996,0.000000e+00
27,24,-0.01787447743,-0.0178744774311781,0.000000e+00
28,22,-0.004359132145,-0.00435913214460015,0.000000e+00
29,12,-0.01775841042,-0.0177584104239941,0.000000e+00
30,17,0.006198922638,0.00619892263785005,0.000000e+00
31,14,-0.002173266374,-0.00217326637357473,0.000000e+00
32,58,-0.003621819196,-0.00362181919626892,0.000000e+00
33,24,-0.01787447743,-0.0178744774311781,0.000000e+00
34,3,0.01887658797,0.0188765879720449,0.000000e+00
35,21,0.005930591375,0.0059305913746357,0.000000e+00
36,26,-0.003541126614,-0.00354112661443651,0.000000e+00
37,27,0.02060311101,0.0206031110137701,0.000000e+00
38,31,0.02055482008,0.0205548200756311,0.000000e+00
39,56,-0.01769645512,-0.0176964551210403,0.000000e+00
40,28,-0.01821742952,-0.0182174295186996,0.000000e+00
41,50,-0.002690164605,-0.00269016460515559,0.000000e+00
42,31,0.02055482008,0.0205548200756311,0.000000e+00
43,16,-0.01798013784,-0.0179801378399134,0.000000e+00
44,27,0.02060311101,0.0206031110137701,0.000000e+00
45,59,0.02022798918,0.0202279891818762,0.000000e+00
46,24,-0.01787447743,-0.0178744774311781,0.000000e+00
47,31,0.02055482008,0.0205548200756311,0.000000e+00
48,19,0.02033329569,0.0203332956880331,0.000000e+00
49,29,0.005913083442,0.0059130834415555,0.000000e+00
50,0,-0.01851216145,-0.0185121614485979,0.000000e+00
51,27,0.02060311101,0.0206031110137701,0.000000e+00
52,26,-0.003541126614,-0.00354112661443651,0.000000e+00
53,10,-0.002560080495,-0.00256008049473166,0.000000e+00
