leaf,gSum_f32,gSum_f64,gSum_residual,hSum_f32,hSum_f64,hSum_residual,leafVal_f32,leafVal_f64,leafVal_residual
43,-36.12168121,-36.1216861754656,4.962087e-06,53,53,0.000000e+00,0.01935089938,0.0193509028757587,3.492333e-09
44,36.88285828,36.8828553296626,2.946705e-06,61,61,0.000000e+00,-0.01728883944,-0.0172888380493437,1.395174e-09
45,-8.696525574,-8.69652596343076,3.897003e-07,54,54,0.000000e+00,0.004577118438,0.00457711882581487,3.880776e-10
46,6.693288803,6.69328832020983,4.828908e-07,58,58,0.000000e+00,-0.003291781293,-0.00329178106750976,2.257185e-10
47,-29.47273636,-29.4727343507111,2.007931e-06,40,40,0.000000e+00,0.0205623731,0.0205623723432169,7.584944e-10
48,137.855011,137.855073273182,6.228685e-05,229,229,0.000000e+00,-0.01782607846,-0.0178260866627432,8.203123e-09
49,-38.80173111,-38.8017333636526,2.254033e-06,205,205,0.000000e+00,0.005596403498,0.00559640372543744,2.272349e-10
50,20.1762352,20.1762298728572,5.326117e-06,222,222,0.000000e+00,-0.002690164605,-0.00269016392291778,6.822378e-10
51,-150.3856049,-150.385666356422,6.149802e-05,223,223,0.000000e+00,0.01996269077,0.0199626986276602,7.857034e-09
52,132.0978699,132.097834458924,3.541412e-05,221,221,0.000000e+00,-0.0176916793,-0.0176916738624519,5.436426e-09
53,-39.50644684,-39.506443197839,3.640540e-06,188,188,0.000000e+00,0.006205201149,0.00620520036358133,7.854055e-10
54,24.89990234,24.8999017826281,5.611219e-07,222,222,0.000000e+00,-0.003319986863,-0.00331998683014293,3.291886e-11
55,-106.5360031,-106.536003030837,8.195639e-08,159,159,0.000000e+00,0.01972888969,0.0197288890091799,6.796696e-10
56,465.416748,465.416867277061,1.192302e-04,786,786,0.000000e+00,-0.01769645512,-0.0176964584362807,3.315240e-09
57,-119.9610519,-119.961102126807,5.018589e-05,673,673,0.000000e+00,0.005323715508,0.00532371743101185,1.923028e-09
58,101.2902145,101.290284522052,6.998348e-05,836,836,0.000000e+00,-0.003621819196,-0.0036218217732314,2.576962e-09
59,-465.2437744,-465.243917027023,1.426130e-04,687,687,0.000000e+00,0.02022798918,0.0202279959403483,6.758472e-09
60,436.302063,436.302354237414,2.912491e-04,725,725,0.000000e+00,-0.01797948033,-0.0179794922178007,1.189162e-08
61,-114.3284531,-114.328468225664,1.516170e-05,598,598,0.000000e+00,0.005706910975,0.00570691176390465,7.886272e-10
62,85.96379852,85.9637712766416,2.724631e-05,667,667,0.000000e+00,-0.003849125467,-0.00384912400097918,1.466262e-09
63,-390.2374268,-390.237639166648,2.124088e-04,570,570,0.000000e+00,0.02043127827,0.0204312895520501,1.127859e-08
