featIdx,bin,partition,sumLeft,sumRight,weightLeft,weightRight,mlx_skipped,mlx_termNum,mlx_termDen,cpu_termNum,cpu_termDen,term_num_diff,term_den_diff
0,19,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,20,0,6106.445312,3630.707031,8202,15235,0,5409.70455501065,5407.87258639035,5409.70455501065,5407.87258639035,0.000000e+00,0.000000e+00
0,20,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,21,0,6287.908691,3449.243652,8593,14844,0,5400.88307476446,5399.1159146819,5400.88307476446,5399.1159146819,-9.094947e-13,9.094947e-13
0,21,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,22,0,6450.756836,3286.395264,8984,14453,0,5377.39490926437,5375.69420487564,5377.39490926437,5375.69420487564,0.000000e+00,0.000000e+00
0,22,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,23,0,6632.769043,3104.383301,9375,14062,0,5376.34206468889,5374.695228351,5376.34206468889,5374.695228351,-9.094947e-13,0.000000e+00
0,23,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,24,0,6800.623047,2936.529053,9765,13672,0,5365.27380585498,5363.68132605389,5365.27380585498,5363.68132605389,0.000000e+00,-9.094947e-13
0,24,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,25,0,6962.411621,2774.740723,10156,13281,0,5351.23176387979,5349.69178334222,5351.23176387979,5349.69178334222,0.000000e+00,0.000000e+00
0,25,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,26,0,7140.262695,2596.889404,10546,12891,0,5356.02439691957,5354.52826349518,5356.02439691957,5354.52826349517,-9.094947e-13,-9.094947e-13
0,26,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,27,0,7284.447266,2452.704834,10937,12500,0,5331.5267550105,5330.08122152722,5331.5267550105,5330.08122152722,0.000000e+00,0.000000e+00
0,27,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,28,0,7437.579102,2299.573486,11327,12110,0,5318.95811785534,5317.55721625321,5318.95811785534,5317.55721625321,9.094947e-13,9.094947e-13
0,28,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,29,0,7587.293945,2149.858154,11718,11719,0,5305.73544955513,5304.37745062689,5305.73544955513,5304.37745062689,-9.094947e-13,0.000000e+00
0,29,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,30,0,7725.988281,2011.164185,12109,11328,0,5285.21026419234,5283.89508557167,5285.21026419234,5283.89508557167,-9.094947e-13,0.000000e+00
0,30,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,31,0,7857.350098,1879.802368,12500,10937,0,5260.85433724694,5259.58096240218,5260.85433724694,5259.58096240218,0.000000e+00,0.000000e+00
0,31,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,32,0,7988.946289,1748.205811,12890,10547,0,5239.91535837175,5238.68114186834,5239.91535837174,5238.68114186834,-9.094947e-13,0.000000e+00
0,32,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,33,0,8110.998047,1626.154297,13281,10156,0,5212.7447732218,5211.5494671919,5212.7447732218,5211.5494671919,-9.094947e-13,0.000000e+00
0,33,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,34,0,8228.305664,1508.846802,13671,9766,0,5184.41380161897,5183.25593196963,5184.41380161897,5183.25593196963,9.094947e-13,0.000000e+00
0,34,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,35,0,8345.476562,1391.675659,14062,9375,0,5158.31551526702,5157.19325454422,5158.31551526702,5157.19325454422,0.000000e+00,0.000000e+00
0,35,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,36,0,8452.635742,1284.516724,14452,8985,0,5126.29854639354,5125.21145684812,5126.29854639354,5125.21145684812,-9.094947e-13,0.000000e+00
0,36,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,37,0,8552.360352,1184.792358,14843,8594,0,5090.05442364059,5089.00186923958,5090.05442364059,5089.00186923958,0.000000e+00,0.000000e+00
0,37,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,38,0,8647.481445,1089.670654,15234,8203,0,5052.41719819597,5051.39802214047,5052.41719819597,5051.39802214047,0.000000e+00,0.000000e+00
0,38,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,39,0,8746.295898,990.8563843,15625,7812,0,5020.54219555171,5019.55432638502,5020.54219555171,5019.55432638502,0.000000e+00,0.000000e+00
0,39,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,40,0,8829.804688,907.3477173,16015,7422,0,4978.24433583654,4977.28793069975,4978.24433583654,4977.28793069975,0.000000e+00,9.094947e-13
0,40,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,41,0,8917.224609,819.9274902,16406,7031,0,4941.50771917032,4940.58099131296,4941.50771917032,4940.58099131296,0.000000e+00,-9.094947e-13
0,41,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
