feat,bin,sumLeft,sumRight,weightLeft,weightRight,lambda,cosNum_term,cosDen_term,gain
0,0,542.209200322628,-542.2094112376508,390.0,49610.0,3.0,753.9939221438415,748.2831192764914,27.5635322326811
0,1,980.165528818965,-980.1657397339877,781.0,49219.0,3.0,1244.9320577467695,1240.2417845080486,35.350248491124084
0,2,1391.194832548499,-1391.1950434635219,1171.0,48829.0,3.0,1688.20593410998,1683.9907949029046,41.139173838161206
0,3,1779.9301076978445,-1779.9303186128673,1562.0,48438.0,3.0,2089.7800380283916,2085.895391261527,45.756659835798295
0,4,2144.2654142826796,-2144.2656251977023,1952.0,48048.0,3.0,2447.5411899342553,2443.926233015701,49.50920615351244
0,5,2475.137903369963,-2475.138114284986,2343.0,47657.0,3.0,2739.926267388876,2736.578810053038,52.37630971560722
0,6,2633.3840160407126,-2633.3842269557354,2538.0,47462.0,3.0,2875.2284706134847,2871.997126694283,53.65131359235469
0,7,2793.559028405696,-2793.559239320719,2734.0,47266.0,3.0,3016.383893115327,3013.2481462575333,54.950185652085615
0,8,3097.8132666780148,-3097.8134775930375,3125.0,46875.0,3.0,3272.6289799126735,3269.6735027840823,57.232745247056265
0,9,3386.2699023096357,-3386.2701132246584,3515.0,46485.0,3.0,3506.134433078168,3503.3389765872507,59.23623992268064
0,10,3669.742421652889,-3669.7426325679116,3906.0,46094.0,3.0,3737.274109556582,3734.611098976954,61.155040830898
0,11,3941.294234376168,-3941.2944452911906,4296.0,45704.0,3.0,3953.208079810819,3950.6642435432987,62.89478161228326
0,12,4211.796556340298,-4211.79676725532,4687.0,45313.0,3.0,4173.808124713516,4171.36279477394,64.62394980307751
0,13,4467.879369921284,-4467.879580836307,5077.0,44923.0,3.0,4373.846460281488,4371.496208650549,66.15283800019792
0,14,4710.275211143075,-4710.275422058097,5468.0,44532.0,3.0,4553.5123088517785,4551.255028224736,67.49644960306912
0,15,4946.544945594622,-4946.545156509645,5859.0,44141.0,3.0,4728.338312433844,4726.164484774545,68.77872592566828
0,16,5169.940620398265,-5169.940831313288,6250.0,43750.0,3.0,4885.364427493217,4883.271777576109,69.91035670187065
0,17,5390.739076774684,-5390.7392876897065,6640.0,43360.0,3.0,5044.697986268786,5042.67606631477,71.04027531573381
0,18,5603.378694670275,-5603.378905585298,7031.0,42969.0,3.0,5194.385040301096,5192.430252160624,72.08564742275935
0,19,5802.870452435454,-5802.870663350477,7421.0,42579.0,3.0,5326.523565210627,5324.634984883967,72.99597807682773
