N,seed,rs,cpu_rmse,mlx_rmse,ratio,cell_pass
1000,1337,0.0,0.20211586406742213,0.202126,1.0000501491192917,True
1000,1337,1.0,0.20373796161890656,0.203614,0.9993915634674974,True
1000,42,0.0,0.20518740256760726,0.205187,0.9999980380491093,True
1000,42,1.0,0.20686504416864557,0.206712,0.9992601738526651,True
1000,7,0.0,0.20256768875539072,0.202703,1.00066798039431,True
1000,7,1.0,0.2042256366497594,0.204034,0.9990616425395796,True
10000,1337,0.0,0.19462575739169616,0.194567,0.9996981006394857,True
10000,1337,1.0,0.19463892894386,0.194754,1.0005912026785413,True
10000,42,0.0,0.19479268394097587,0.194891,1.000504721517436,True
10000,42,1.0,0.1949652030747887,0.195022,1.0002913182676476,True
10000,7,0.0,0.19437097508948514,0.194064,0.9984206742321284,True
10000,7,1.0,0.19433856109778364,0.194257,0.9995803143888536,True
50000,1337,0.0,0.1941319710030913,0.194017,0.9994077688363373,True
50000,1337,1.0,0.19403638611087753,0.194136,1.0005133773676116,True
50000,42,0.0,0.1937017966480829,0.193789,1.0004501938207393,True
50000,42,1.0,0.19375786041551474,0.193755,0.9999852371640119,True
50000,7,0.0,0.19329815499649453,0.193433,1.0006976010894046,True
50000,7,1.0,0.19317984166084026,0.193322,1.0007358859906788,True
