feat,bin,sumLeft,sumRight,weightLeft,weightRight,lambda,cosNum_term,cosDen_term,gain
0,0,542.192565917969,-542.192687988281,390,49585,3,753.950644715265,748.240191884079,27.5627407714613
0,1,979.056518554688,-979.056640625,780,49195,3,1243.68747070095,1238.99584616982,35.3326599720402
0,2,1389.85412597656,-1389.85424804688,1170,48805,3,1686.3757953357,1682.16160215155,41.1169131382899
0,3,1778.61389160156,-1778.61401367188,1561,48414,3,2088.01530587438,2084.13144153431,45.7373633690748
0,4,2143.26098632812,-2143.26123046875,1951,48024,3,2446.49900461403,2442.88373618128,49.4986830466106
0,5,2474.2685546875,-2474.26879882812,2342,47633,3,2739.17943817482,2735.83147706758,52.3691846063501
0,6,2791.93090820312,-2791.93115234375,2732,47243,3,3015.03183540838,3011.89516527576,54.9378901319954
0,7,3096.31079101562,-3096.31103515625,3123,46852,3,3271.51655363108,3268.5601672476,57.2230339464998
0,8,3385.4931640625,-3385.49340820312,3513,46462,3,3506.50142731985,3503.7040757543,59.2393535775525
0,9,3668.39282226562,-3668.39306640625,3903,46072,3,3737.30922421275,3734.64409383197,61.1553452814521
0,10,3939.84887695312,-3939.84912109375,4293,45682,3,3952.99414494934,3950.44863228935,62.8930941983052
0,11,4209.9716796875,-4209.9716796875,4684,45291,3,4172.80087247732,4170.35454044669,64.6161639183844
0,12,4465.96484375,-4465.96484375,5074,44901,3,4372.63622523323,4370.28521740264,66.1436958280638
0,13,4708.7568359375,-4708.7568359375,5465,44510,3,4553.04662389278,4550.78832599022,67.4930073597287
0,14,4944.31640625,-4944.31640625,5855,44120,3,4727.18991962941,4725.01509880388,68.7703841888153
0,15,5168.08935546875,-5168.08935546875,6246,43729,3,4884.89355772945,4882.79974166442,69.9069973010819
0,16,5388.3251953125,-5388.3251953125,6636,43339,3,5043.13880038194,5041.11626675844,71.0293048358287
0,17,5600.25390625,-5600.25390625,7026,42949,3,5192.10470668739,5190.14934429578,72.0698328411537
0,18,5800.1865234375,-5800.1865234375,7416,42559,3,5325.02268717766,5323.13333207902,72.9857021126095
0,19,5992.736328125,-5992.736328125,7807,42168,3,5449.92275986573,5448.09585726983,73.8359687081736
0,20,6192.58056640625,-6192.58056640625,8197,41778,3,5594.42671906608,5592.64986752396,74.8077812472415
0,21,6378.80224609375,-6378.80224609375,8588,41387,3,5719.31573686452,5717.59057211828,75.6375662098111
0,22,6544.48828125,-6544.48828125,8978,40997,3,5813.63519994928,5811.96573530276,76.2581480508349
0,23,6731.59814453125,-6731.59814453125,9369,40606,3,5950.95587603097,5949.32571840048,77.153006942933
0,24,6903.35791015625,-6903.35791015625,9759,40216,3,6066.74373378271,6065.15509585252,77.8995044132034
0,25,7069.74658203125,-7069.74658203125,10150,39825,3,6177.74175356371,6176.19263883114,78.6084680988363
0,26,7252.47509765625,-7252.47509765625,10540,39435,3,6322.63839670601,6321.11734606481,79.5245862193427
0,27,7400.88037109375,-7400.88037109375,10931,39044,3,6412.16911001127,6410.68688336948,80.0852775443863
0,28,7557.8193359375,-7557.8193359375,11321,38654,3,6521.83707804157,6520.38607334065,80.7668769090382
0,29,7712.60546875,-7712.60546875,11712,38263,3,6632.11140733647,6630.6892511419,81.4465092472132
0,30,7855.40478515625,-7855.40478515625,12102,37873,3,6726.87220667845,6725.47980005342,82.0260013750502
0,31,7990.44287109375,-7990.44287109375,12493,37482,3,6812.6818961524,6811.31892907505,82.5472297291914
0,32,8126.93115234375,-8126.93115234375,12883,37092,3,6905.9686082245,6904.63134600612,83.1102047250434
0,33,8252.625,-8252.625,13273,36702,3,6985.48704045875,6984.17615237935,83.587069422154
0,34,8374.7470703125,-8374.7470703125,13663,36312,3,7063.51505808647,7062.22887832641,84.0523733875897
0,35,8495.6591796875,-8495.6591796875,14054,35921,3,7143.67637053437,7142.41279122067,84.5277479493601
0,36,8607.7783203125,-8607.7783203125,14444,35531,3,7213.82027437119,7212.57923661499,84.9415182679676
0,37,8712.1669921875,-8712.1669921875,14835,35140,3,7275.16963679482,7273.95102062125,85.3017494376583
0,38,8809.6064453125,-8809.6064453125,15224,34751,3,7329.91285658068,7328.71592699463,85.6219012966302
0,39,8914.26171875,-8914.26171875,15616,34359,3,7400.20999650529,7399.03089230631,86.0313273674506
0,40,9000.59375,-9000.59375,16006,33969,3,7444.95266353685,7443.79380460282,86.2908552680031
0,41,9092.8203125,-9092.8203125,16397,33578,3,7503.51380739972,7502.37164170896,86.6294184845685
0,42,9189.4765625,-9189.4765625,16787,33188,3,7573.82831993352,7572.69968231351,87.0342296212591
0,43,9271.685546875,-9271.685546875,17178,32797,3,7624.3012436842,7623.18787241173,87.323620959997
0,44,9343.109375,-9343.109375,17568,32407,3,7661.47338383971,7660.37584500382,87.5361130044352
0,45,9411.4140625,-9411.4140625,17959,32016,3,7697.5451828648,7696.46238446723,87.7418265914204
0,46,9479.08203125,-9479.08203125,18349,31626,3,7736.92955382265,7735.8597378771,87.9658997436867
0,47,9538.8896484375,-9538.8896484375,18740,31235,3,7767.44639185155,7766.38962287457,88.1391133641732
0,48,9589.1416015625,-9589.1416015625,19130,30845,3,7786.71574523689,7785.67230526257,88.2482822782041
0,49,9642.640625,-9642.640625,19520,30455,3,7815.35962285307,7814.32709207816,88.4103630241354
0,50,9697.533203125,-9697.533203125,19910,30065,3,7850.30004644071,7849.27649622137,88.6076956597541
0,51,9736.7724609375,-9736.7724609375,20301,29674,3,7863.81669875496,7862.80386350483,88.6838748841746
0,52,9793.7236328125,-9793.7236328125,20691,29284,3,7910.08769417566,7909.08027753845,88.9443378699974
0,53,9839.42578125,-9839.42578125,21082,28893,3,7942.05911778731,7941.05797181,89.1238486039579
0,54,9880.02734375,-9880.02734375,21472,28503,3,7969.87997101839,7968.88459113412,89.2797596056008
0,55,9910.791015625,-9910.791015625,21863,28112,3,7985.72124562282,7984.73214781613,89.3683974677438
0,56,9942.1708984375,-9942.1708984375,22253,27722,3,8006.61086795504,8005.62641443747,89.4851688411609
0,57,9965.7607421875,-9965.7607421875,22644,27331,3,8018.84804416393,8017.86833595249,89.5534916800373
0,58,9984.025390625,-9984.025390625,23034,26941,3,8026.53867342991,8025.56327468342,89.5963960811088
0,59,9988.466796875,-9988.466796875,23425,26550,3,8015.92768940653,8014.95785938633,89.53712993378
0,60,10002.5244140625,-10002.5244140625,23815,26160,3,8024.74699997095,8023.77941375845,89.5863533294246
0,61,10006.578125,-10006.578125,24206,25769,3,8021.41801053237,8020.45318924232,89.5677561842749
0,62,10010.4375,-10010.4375,24596,25379,3,8021.72493113779,8020.76148543066,89.5694618303193
0,63,10015.7685546875,-10015.7685546875,24987,24988,3,8028.30033662581,8027.33657435498,89.6061616999968
0,64,10015.1298828125,-10015.1298828125,25377,24598,3,8029.22695835523,8028.26261644431,89.6113353103353
0,65,10004.5380859375,-10004.5380859375,25767,24208,3,8018.10757244023,8017.14315897405,89.5492719228888
0,66,9996.8154296875,-9996.8154296875,26157,23818,3,8015.49892102042,8014.53247164349,89.5347166574994
0,67,9982.1142578125,-9982.1142578125,26548,23427,3,8005.65449324202,8004.68592552812,89.4797361314432
0,68,9965.232421875,-9965.232421875,26938,23037,3,7996.19946553125,7995.22779010391,89.4269045592442
0,69,9948.40234375,-9948.40234375,27329,22646,3,7990.81690172807,7989.84064753748,89.3968303420438
0,70,9921.916015625,-9921.916015625,27719,22256,3,7973.80894538072,7972.82857651764,89.3016765508556
0,71,9892.3173828125,-9892.3173828125,28110,21865,3,7955.81666610593,7954.83131166507,89.2009088664535
0,72,9862.73046875,-9862.73046875,28500,21475,3,7941.72527782855,7940.73348125479,89.121923219136
0,73,9823.0283203125,-9823.0283203125,28891,21084,3,7915.40729586212,7914.40955944622,88.9741825366126
0,74,9781.7685546875,-9781.7685546875,29281,20694,3,7890.45248362391,7889.44765069839,88.8338755460389
